4.269018076355055036e-01 1.350659576806668838e+01 -6.746544730327524997e-01
4.598944431395914356e-01 1.283998510149024774e+01 -6.851988817165884926e-01
4.954368781011553313e-01 1.219670821583589770e+01 -6.959274595703140998e-01
5.337261709598772885e-01 1.157633712742439158e+01 -7.068448838400784862e-01
5.749746095996719486e-01 1.097844201981537360e+01 -7.179495672012172758e-01
6.194108883394957576e-01 1.040259806947814170e+01 -7.293581501898349639e-01
6.672813758865887568e-01 9.848400368435308749e+00 -7.412324867981681109e-01
7.188514812820853139e-01 9.315446106024138473e+00 -7.535027957505744389e-01
7.744071254122267822e-01 8.803303356136170876e+00 -7.659979455246777036e-01
8.342563262436908378e-01 8.311526474403430953e+00 -7.787194614999505271e-01
8.987309065720935353e-01 7.839668742675931945e+00 -7.916602129546284061e-01
9.681883337519439081e-01 7.387286794156998404e+00 -8.049487412182866342e-01
1.043013701608103139e+00 6.953955000622673133e+00 -8.187956102474301945e-01
1.123621865517085761e+00 6.539252620145624029e+00 -8.331458170289773868e-01
1.210459742495760826e+00 6.142734495458581634e+00 -8.477702515338635392e-01
1.304008789049881267e+00 5.763942211230022039e+00 -8.626613307474834125e-01
1.404787670520395659e+00 5.402417344289268009e+00 -8.778058761695383128e-01
1.513355136727250638e+00 5.057704076321913433e+00 -8.933445445172590871e-01
1.630313119854155612e+00 4.729362519353635719e+00 -9.095521281468694763e-01
1.756310071749946466e+00 4.416960119501716520e+00 -9.264013467213064734e-01
1.892044559149622884e+00 4.120045110653989262e+00 -9.435828025813123299e-01
2.038269136748062316e+00 3.838153730110127171e+00 -9.610693371208138824e-01
2.195794519599974404e+00 3.570823692777501446e+00 -9.788405973298744955e-01
2.365494077979184873e+00 3.317595562299784362e+00 -9.970485720520674278e-01
2.548308679618153327e+00 3.078024682972987591e+00 -1.016055556807890614e+00
2.745251906174655865e+00 2.851676073370903897e+00 -1.035883190481711180e+00
2.957415672847317545e+00 2.638101186984763924e+00 -1.056107405908528252e+00
3.185976282296952622e+00 2.436841704348804427e+00 -1.076662229528090320e+00
3.432200946438532352e+00 2.247442777003485048e+00 -1.097518126728156407e+00
3.697454812262659818e+00 2.069453625147362974e+00 -1.118835225569112746e+00
3.983208530639896772e+00 1.902437856028414975e+00 -1.141099757221487820e+00
4.291046410071816197e+00 1.745971069552129995e+00 -1.164420184390564161e+00
4.622675200595682377e+00 1.599621211691305112e+00 -1.188204184200978952e+00
4.979933556543540973e+00 1.462949603361433315e+00 -1.212311626445998325e+00
5.364802230620205670e+00 1.335523535196850631e+00 -1.236701584338242510e+00
5.779415055819303149e+00 1.216916479775939308e+00 -1.261534489105504475e+00
6.226070776064636547e+00 1.106716690372173018e+00 -1.287480645817873359e+00
6.707245791169576421e+00 1.004526772915014243e+00 -1.314807784738116103e+00
7.225607886776609590e+00 9.099476782565911748e-01 -1.342670253898581967e+00
7.784031025400117265e+00 8.225777149106976438e-01 -1.370785697987127572e+00
8.385611280578601168e+00 7.420241994435788913e-01 -1.399097445446889409e+00
9.033684002480258712e+00 6.679036110865000930e-01 -1.427741737290883606e+00
9.731842310133517415e+00 5.998484024954344740e-01 -1.457668414064612117e+00
1.048395701280916370e+01 5.375076728712266938e-01 -1.489442608761425202e+00
1.129419807100455309e+01 4.805343748194024212e-01 -1.521824060607532392e+00
1.216705771601631270e+01 4.285827941530497287e-01 -1.554254204992934651e+00
1.310737535628369876e+01 3.813188302468863977e-01 -1.586664369413895104e+00
1.412036440859132647e+01 3.384201341795466389e-01 -1.619124056987724325e+00
1.521164120289172139e+01 2.995810869317092617e-01 -1.653048854841829840e+00
1.638725612100526519e+01 2.645140602885330261e-01 -1.689600550617802899e+00
1.765372714184021774e+01 2.329398105194678270e-01 -1.726895816714093090e+00
